,Unnamed: 0.1,Unnamed: 0,mu_plus_ProbNNk,mu_plus_ProbNNpi,mu_plus_ProbNNmu,mu_plus_ProbNNe,mu_plus_ProbNNp,mu_plus_P,mu_plus_PT,mu_plus_ETA,mu_plus_PHI,mu_plus_PE,mu_plus_PX,mu_plus_PY,mu_plus_PZ,mu_plus_IPCHI2_OWNPV,mu_minus_ProbNNk,mu_minus_ProbNNpi,mu_minus_ProbNNmu,mu_minus_ProbNNe,mu_minus_ProbNNp,mu_minus_P,mu_minus_PT,mu_minus_ETA,mu_minus_PHI,mu_minus_PE,mu_minus_PX,mu_minus_PY,mu_minus_PZ,mu_minus_IPCHI2_OWNPV,K_ProbNNk,K_ProbNNpi,K_ProbNNmu,K_ProbNNe,K_ProbNNp,K_P,K_PT,K_ETA,K_PHI,K_PE,K_PX,K_PY,K_PZ,K_IPCHI2_OWNPV,Pi_ProbNNk,Pi_ProbNNpi,Pi_ProbNNmu,Pi_ProbNNe,Pi_ProbNNp,Pi_P,Pi_PT,Pi_ETA,Pi_PHI,Pi_PE,Pi_PX,Pi_PY,Pi_PZ,Pi_IPCHI2_OWNPV,B0_M,B0_ENDVERTEX_CHI2,B0_ENDVERTEX_NDOF,B0_FDCHI2_OWNPV,B0_P,B0_PT,B0_PX,B0_PY,B0_PZ,Kstar_M,Kstar_ENDVERTEX_CHI2,Kstar_ENDVERTEX_NDOF,Kstar_FDCHI2_OWNPV,Kstar_P,Kstar_PT,Kstar_PX,Kstar_PY,Kstar_PZ,J_psi_M,J_psi_ENDVERTEX_CHI2,J_psi_ENDVERTEX_NDOF,J_psi_FDCHI2_OWNPV,J_psi_P,J_psi_PT,J_psi_PX,J_psi_PY,J_psi_PZ,B0_IPCHI2_OWNPV,B0_DIRA_OWNPV,B0_OWNPV_X,B0_OWNPV_Y,B0_OWNPV_Z,B0_FD_OWNPV,B0_ID,B0_ENDVERTEX_X,B0_ENDVERTEX_Y,B0_ENDVERTEX_Z,q2,phi,costhetal,costhetak,year
22,22,22,4.5269232941791415e-05,0.114083394408226,0.9933392405509948,4.0719535832067777e-07,1.4015274700796e-06,26159.84256706641,3551.228879036101,2.6854397203165883,0.2951872569540379,26160.05594078702,3397.63,1033.12,25917.68,275.72485886860363,0.0011555730598047,0.513997495174408,0.705281138420105,2.276223312946968e-06,0.0002618865983095,31094.099255689976,1099.041816219929,4.03541404761784,1.879074935307065,31094.278769801145,-333.47,1047.23,31074.67,108.9911309676997,0.8877112865447998,0.0060206642374396,-1000.0,9.403428703080864e-05,0.9249107241630554,13687.721523854874,1400.449935734941,2.970225416035744,0.2106953558466796,13696.621389925876,1369.48,292.89,13615.89,496.5625111694353,0.0031075342558324,0.994304060935974,-1000.0,1.4637560497021695e-08,0.0036907156463712,11232.981881967047,1052.3404126992368,3.058783407203728,0.7499662154464066,11233.848935860096,770.01,717.29,11183.58,178.62735031521717,5268.602471244244,12.08168601989746,3,989.6143456233212,82015.00485303467,6046.150052529295,5205.11,3076.16,81791.84,957.5440590386008,0.2882744967937469,1,813.3105568274285,24911.82210932994,2366.0228618506626,2139.58,1010.08,24799.21,4025.939269288656,9.127355575561523,1,462.5542077226616,57110.95458267004,3696.82776869575,3064.33,2067.95,56991.18,3.627788493780905,0.9999975304021368,0.8793,-0.1834,24.1497,13.722375996889166,511,1.7303,0.3544,37.8351,16.213952001461504,0.8660221991230185,0.8374958170264161,0.0470586254570675,2016
109,109,109,0.378620982170105,0.1624453961849212,0.7538145184516907,2.504023655092169e-08,0.0318950153887271,30227.09,985.8255580152262,4.115895557633843,0.7047280889023588,30227.274663112632,750.9898151941362,638.6441327615162,30211.00987781216,956.4982529704264,0.0002512837236281,0.0325403772294521,0.999626636505127,3.016586333615124e-06,2.9380262276390567e-05,63111.15,4513.480905276173,3.3296948554650965,2.693898092199198,63111.23844461976,-4068.6660550789097,1953.833773518424,62949.54919965835,2832.4366172796954,0.8500702977180481,0.0502371080219745,-1000.0,0.0007618687232024,0.7689787149429321,7424.61,771.335884697463,2.9548694690156565,-3.068501295044076,7441.004678968358,-769.2764299457201,-56.32780265539905,7384.4346164806675,3537.245142737286,0.0055316719226539,0.9764996767044068,-1000.0,9.978974048863163e-06,0.0034499010071158,9991.56,611.9829859474178,3.484999502138071,3.1347432793225054,9992.534766952038,-611.9686307407144,4.191667741187181,9972.8004120463,264.63117053442346,5269.069366726621,11.334245350210496,5,10661.495233902628,110605.11190864503,5328.921466874588,-4686.052687483859,2537.3833392379074,110476.66439716476,862.6318349704286,0.2953801327187815,1,6841.594405399525,17412.184352623826,1382.2286692998612,-1381.2450606864345,-52.136134914211866,17357.235028526968,3932.281507096757,0.0989050442399396,1,4959.235899688503,93253.19572764012,4210.947612565195,-3317.2669424075034,2593.804123016789,93158.07229447048,2.9232348520457343,0.9999996762324832,0.9182,-0.1284,-32.7467,32.55227043216788,-511,-0.4452908970983502,0.5974151044831788,-0.2310976636349977,15.460344208211898,-2.122090020972724,0.3342277260696648,0.3035234488248485,2016
145,145,145,8.479219832224771e-05,0.0041648754850029,0.9943427443504332,2.708624151637196e-06,8.680513019498903e-07,17310.98,4145.567122842464,2.1077928114535376,2.871962309945568,17311.30244237998,-3995.7854175936905,1104.2760825708249,16807.26931391318,7039.8434433529565,0.0007487251423299,0.3356360495090484,0.9822081327438354,1.9031324427487561e-07,4.753694156534039e-05,18068.1,3107.0275039499675,2.446152561444988,-2.320845563454918,18068.40893109161,-2117.9823060957933,-2273.273160305798,17798.949904410045,1034.146083554867,0.915720283985138,0.0107304817065596,-1000.0,1.6954378224909306e-05,0.8317680954933167,7009.31,794.4852571276799,2.867219815850015,-2.7341001919723307,7026.673726339442,-729.4307915629023,-314.86115053012395,6964.138127026688,361.4271515963856,0.0002453241322655,0.9984460473060608,-1000.0,3.1621627538669367e-10,3.725618807948194e-05,9788.78,1235.587074581009,2.7588306029714325,3.0356700849205667,9789.774957757978,-1228.6621622364903,130.6319637761239,9710.486005835564,552.3997283632352,5264.783103705837,2.665444623166271,5,13161.179938932491,51922.4957048206,8182.079220873033,-8069.423881104387,-1353.0774566537066,51273.76658526728,939.0356562340096,0.6269210099059427,1,1091.352045082523,16790.210194670082,1966.740554565058,-1958.092953799393,-184.22918675400004,16674.624132862253,3922.0310015709065,0.6228907121582737,1,9829.7347654569,35154.67482487821,6221.100907049199,-6110.688201507955,-1166.870258272036,34599.84198731603,1.95295737914874,0.999998646733874,0.8497,-0.1686,100.8481,9.520838354319867,511,-0.6348738263554878,-0.4315349530524948,110.24880575721056,15.388858336530925,0.2921337206219153,0.1710567932730614,-0.5473887520823632,2016
153,153,153,5.6846256484277546e-05,0.0029413658194243,0.999853491783142,9.6861128895398e-07,5.148509103491961e-07,40756.19000000001,3436.091268219985,3.1646386104160227,0.5539896379514865,40756.32695677141,2922.163377830778,1807.6737528664423,40611.08592629066,53.76494601440842,0.001028299331665,0.0106691671535372,0.9971704483032228,9.960120951291174e-05,0.0001501010701758,8159.13,2299.5092258873296,1.939112576655232,1.051170326080078,8159.814093963849,1141.8340438956495,1995.9853947716788,7828.388063768879,257.524287745825,0.9700150489807128,0.00336853438057,-1000.0,8.359659773304884e-07,0.8636034727096558,7558.96,1129.932809240595,2.5880889657437662,1.7218523455699446,7575.063911408866,-170.03478603425907,1117.065944757348,7474.030246674257,16.45411893080108,0.0669845640659332,0.8758718967437744,-1000.0,2.499053516658023e-05,0.019229857251048,1765.94,353.0449375232978,2.2928451628748903,0.7592772485390162,1771.4468433303982,256.075405049764,243.035213167616,1730.2899628932637,26.42520492576009,5282.989578505311,5.598188357278763,5,656.4161463190028,58020.15596339034,6620.858037338227,4144.332855598761,5163.35804807209,57641.15488837427,883.4447465995019,0.1231019481796035,1,43.54726926356636,9304.66488747244,1362.819924975196,86.04061901550494,1360.101157924964,9204.32020956752,3926.9887089498384,0.266848724964094,1,649.329846946591,48760.06339650387,5566.61001621227,4064.409383703581,3803.6460711082254,48441.26996021556,1.7842927001268707,0.9999585843282496,0.8745,-0.1897,-10.5348,2.503446465494092,-511,1.04169887415209,0.0526595590238203,-8.048728684404466,15.422316906562328,-3.094566622752911,0.6481500228287383,0.8046748863071355,2016
188,188,188,0.0675347745418548,0.1599394679069519,0.8683987855911255,5.376910849008709e-06,0.0302342940121889,8356.919999999998,707.9168297326552,3.159866979426788,-0.5958838656946885,8357.587904267057,585.9093186596627,-397.3116007952736,8326.882108483418,1580.978785725457,3.677387212519534e-05,0.0805269628763198,0.9991660118103028,4.016086734281999e-07,1.098344682759489e-06,31030.320000000003,5053.288019804102,2.5013758907454893,-2.6402483021992045,31030.499883075543,-4431.416513068192,-2428.6349043860428,30616.091185703383,1353.071798877833,0.9932380318641664,0.0061977161094546,-1000.0,1.3936021332483506e-06,0.3063399493694305,12705.43,1500.6038626548666,2.8258033218014504,2.4377604830455093,12715.017438652178,-1144.0121033067053,971.106719213946,12616.502666439908,2477.130823986991,0.1211767345666885,0.8180984258651733,-1000.0,8.675895912801934e-08,0.0672133266925811,3550.38,172.27941402970862,3.718250270257714,-2.687479631496396,3553.1222860387497,-154.8189760697578,-75.57301864509267,3546.1976746794,30.857783536197115,5547.281550916863,4.67427747526429,5,6856.695210756031,55373.59253458388,5495.562139834714,-5145.617500127085,-1929.7211651351563,55100.21367429839,964.6476059370362,1.4638306824538594,1,2987.270102997475,16239.514312270148,1577.638355773836,-1298.831079376463,895.5337005688534,16162.700341119307,3477.397650717081,0.1706865195706859,1,3586.280075791836,39234.82523379525,4772.676658312987,-3845.6527259543423,-2826.5522454335696,38943.45989561856,2.4667803905589194,0.9999968245928936,0.8094,-0.1964,27.779,10.100914275150554,511,-0.1545641918633684,-0.5490414032305813,37.8276260887483,12.09239131926632,-1.0568131738424351,-0.4743636615135357,0.8070263238481817,2016
446,446,446,3.8253729144344106e-05,0.0063485945574939,0.9979137182235718,2.688242147996789e-06,9.123940003519238e-07,27106.97,4800.273910000267,2.416331361842587,-2.224603577472802,27107.175918417823,-2919.588529346612,-3810.332325445767,26678.5530524028,6097.990524954122,0.0002852757461369,0.0409730486571788,0.9796246886253356,9.16310091270134e-06,3.842385467578424e-06,15929.089999999997,1555.912417526784,3.0168382416604347,-0.7152771123460618,15929.440414504552,1174.5762276149353,-1020.4088085350444,15852.919124788528,2722.107664438145,0.9402878284454346,0.0352443419396877,-1000.0,0.0001116333223762,0.8789340257644653,3726.82,431.70744946222806,2.845338005334147,-0.4465201598872293,3759.37551898304,389.38080393016713,-186.4240098589206,3701.731485464448,1379.6612627956813,0.0162774585187435,0.97694993019104,-1000.0,4.250300662533846e-06,0.0118235377594828,3695.26,292.2306347442056,3.228842848679201,-1.889374992437101,3697.894847442966,-91.53162096218016,-277.52604606962035,3683.6867027092576,17.217971290999035,5274.165548184853,2.340318907136356,5,14133.462606677576,50221.443635348856,5491.5620232072815,-1446.0003175953398,-5297.767127408171,49920.29794946931,873.2214573507171,0.0788959805792051,1,1998.89233048786,7405.968242194787,551.3291124099957,297.84918296798696,-463.95005592854096,7385.418188173704,4104.328496901112,1.0800362677866375,1,12018.105261280398,42843.27684432391,5137.91098985875,-1745.6067288854942,-4832.285844999342,42534.08329116392,0.5920828979445495,0.9999996078187262,0.8326,-0.1869,9.3496,13.28255512989743,-511,0.4602369154908432,-1.5941147238530975,22.55215139103917,16.84309199123192,-2.2769712126507446,0.9180082278180356,0.725331448679601,2016
617,617,617,0.0722320824861526,0.0753067657351493,0.9681325554847716,9.118347747971712e-07,0.0309098996222019,3439.55,880.4694936752492,2.038988017637201,2.6719371704552826,3441.1724591556085,-785.136009676571,398.48208943677895,3324.947769996884,10691.632458863309,0.0001027807957143,0.002232203958556,0.9977405667304992,3.292822611911106e-06,7.714332241448574e-06,13654.49,2628.759326639444,2.3313061187180537,0.842771202872284,13654.898785829611,1749.1678031717986,1962.342374240796,13399.056741528717,6093.988501261536,0.8922784328460693,0.0076970835216343,0.1003300547599792,3.2739351354393875e-06,0.6005484461784363,15335.139999999998,2173.418669214461,2.6419327957354954,1.673035250218881,15343.084298794976,-221.8210713184558,2162.069407768652,15180.341567563952,45.24060884373641,0.0010758598800748,0.9258822798728944,-1000.0,0.0023339192848652,3.813689545495436e-05,31941.25,4222.052063951388,2.7123272699074588,1.644530235650604,31941.554930805185,-311.02639755969847,4210.580270074092,31660.981158703587,52.9214782471886,5277.990330619897,5.666173949784092,5,27451.866975034813,64161.871951815,8745.132016402116,430.3869279051768,8734.534966246898,63563.106267526,912.6894244459982,2.711495546622256,1,136.12892453207306,47275.83003066098,6394.887828695597,-532.8474688781542,6372.649677842744,46841.322726267535,2465.577883793001,1.1648728927926968,1,26182.052962885897,16916.871127979208,2549.491214873397,963.585134848713,2360.3832618062725,16723.654603762297,5.293769765427945,0.999996245843761,0.7877,-0.1568,-21.848,11.34634591655776,-511,0.8329768474239234,1.383876056476648,-10.606833114205898,6.080475664913833,-2.191822558397498,-0.2405616761343609,-0.9153713283427952,2016
655,655,655,0.0049670813605189,0.6721270680427551,0.9600335955619812,2.480399643900455e-06,0.0042848959565162,26212.959999999995,1497.7667040689537,3.5546087904212325,-2.737223620682091,26213.172941342884,-1376.9730581355316,-589.2794727346767,26170.13501802737,1495.21877682702,0.0515566319227218,0.0037233675830066,0.9997765421867372,1.7851027678261744e-06,0.09083142131567,140690.81,3785.505168133572,4.308351442620259,-1.096536868132604,140690.84967455151,1728.7636061034382,-3367.7033379111977,140639.87332573265,114.16542205981725,0.9817756414413452,0.0683948174118995,-1000.0,8.395997429033741e-05,0.1720141470432281,31916.89,1100.5104299534592,4.060211059030553,-2.1109052995151343,31920.70776553097,-565.9148791102647,-943.8556860230076,31897.91128060995,73.13883004694763,0.0008108573965728,0.8692130446434021,-1000.0,0.0038084089756011,0.0025047231465578,33886.11000000001,1350.7945270527573,3.915061921354082,-1.7090650423407678,33886.397429754106,-186.1780656147084,-1337.9026803918316,33859.17608385922,50.29560612560137,5282.518494147131,1.564358842059142,5,2173.836890614748,232646.59351295733,6249.577362258198,-399.5881684064381,-6236.789759364967,232562.63727429725,899.1609892969668,0.0004871217090649,1,150.39609466049404,65800.96202715156,2402.5122351840787,-752.092944724973,-2281.758366414839,65757.08736446917,3948.443578887233,0.1361046084947954,1,2063.607332016193,166858.77100602927,3971.914124119157,351.9409707420348,-3956.291111949474,166811.49049101246,0.1958252567816361,0.999999923501364,0.8292,-0.1609,2.0547,20.088687103286794,-511,0.799224673092817,-0.6930185118902488,22.136315993311936,15.5924121683197,-2.5953335395838426,-0.4946485268826497,-0.2797242667079206,2016
665,665,665,4.637279562302865e-05,0.0114859035238623,0.9973260164260864,1.683070877334103e-06,8.820878178994462e-07,36971.03,3806.7617978703097,2.963841804283163,-1.3381263270294996,36971.18097859536,877.7494191286107,-3704.185651792332,36774.52411487027,867.3465187838412,0.0020382329821586,0.0227153915911912,0.999807059764862,1.5364728369604563e-06,8.933300705393776e-06,98614.58,4782.899217796298,3.7187308032713706,-1.570773261632522,98614.6366026238,0.1103183470702904,-4782.899216524043,98498.52416990216,45.76043878511301,0.9991289377212524,0.0006304581766016,-1000.0,5.303081138663401e-07,0.0075509399175643,20353.990000000005,1289.6095798611327,3.451079514080522,-1.9031933043582263,20359.97607809079,-420.8121636114639,-1219.0200947590015,20313.094694103864,38.724067930234725,9.916220733430237e-05,0.971409022808075,-1000.0,4.47048842033837e-06,2.471889729349641e-06,30262.2,1827.8493413952133,3.498993234330085,-2.1436755478944165,30262.521849230365,-990.7927319367597,-1536.0218023127825,30206.948134910304,228.89070447782345,5272.266002675784,8.217615867028115,5,2055.41131622516,186167.801900102,11253.704132396027,-529.2824280477755,-11241.250678232707,185827.35161330824,882.9975766959262,1.3658426477056411,1,289.61620460617814,50614.796371033466,3095.6234001823614,-1411.6048955482236,-2755.041897071784,50520.04282901417,3451.6310760303104,3.5580461473529112,1,1413.3758725399582,135576.42408334068,8534.356500589378,883.7077939018918,-8488.480512680066,135307.5442329314,0.0738340153141781,0.9999999355840354,0.8342,-0.2315,-5.0542,11.8032233773496,-511,0.8009716773541824,-0.9484225304103524,6.72718362246032,11.915089632579804,2.354851462087032,0.2849183413112287,-0.9647935884120326,2016
938,938,938,0.0225852746516466,0.2246604263782501,0.9664979577064514,9.674618922872469e-06,0.0283507723361253,15594.3,2728.3603229772216,2.428609812743511,-0.9096745582130222,15594.657937292215,1675.220480714619,-2153.5056055164214,15353.769649112352,82.71534795455293,0.0005978536792099,0.1278981566429138,0.9847724437713624,9.393556155146145e-09,8.115232958516572e-06,8779.82,1904.063121172278,2.209642087520698,0.1304893850042016,8780.455735527117,1887.8754124227048,247.755517755146,8570.868267742288,868.0385677889022,0.9975544810295104,0.0044460128992795,-1000.0,3.03903462395283e-08,0.0159455090761184,15056.04,1900.4062696862595,2.758851711263774,-1.228041450525447,15064.131487142862,638.6942324263243,-1789.8641477297074,14935.62173100729,37.26893501506859,0.0001366211072308,0.8415689468383789,-1000.0,0.0005987141048535,7.876436029619072e-06,26454.33,3777.192807757191,2.634449879556884,-1.1807439169375684,26454.698176014885,1436.2280421967068,-3493.4845810136994,26183.284557937484,36.20363501914453,5279.865876890778,3.629594541359364,5,1212.045387421685,65674.30531320053,9136.66745066099,5636.677937907065,-7190.726940183431,65035.64934916474,910.8709919873912,0.132632220420227,1,76.75867827712547,41508.83677765812,5676.185007136518,2074.922274623031,-5283.348728743407,41118.90628894477,2329.9752000490403,0.2720378970129303,1,1011.3333328315337,24263.314577370184,4041.094083485813,3563.218717767736,-1906.282707505287,23924.42251944319,0.9171360580300318,0.999994231470659,0.8329,-0.1556,-19.9923,3.1400284015479354,-511,1.1044133975612134,-0.4889740699855576,-16.881846565702403,5.430331369570851,0.1496976580687762,-0.7800151071039712,-0.7669086833200948,2016
